gainsay    vt. 反驳；否定
captivate  v. 迷住，使……着迷
obedience  n. 顺从；服从；遵守
envision   vt. 想象；预想
indispensable  adj. 不可缺少的；绝对必要的；责无旁贷的  
dispensable  adj. 可有可无的；非必要的
gratuitous  adj. 无理由的，无端的；免费的
fabricate  vt. 制造；伪造；装配
adjourn    vi. 休会；延期；换地方  vt. 推迟；使…中止；使…延期
metabolism  n. [生理] 新陈代谢
precipitation  n. [化学] 沉淀，[化学] 沉淀物；降水；冰雹；坠落；鲁莽
prolusion    n. 预演，序幕；序言
frenzy       n. 狂怒，暴怒，狂暴
vibrant      adj. 充满生机的，生气勃勃的；鲜艳的；醒目的；洪亮的；强劲的；颤抖的，震动的
candid       adj. 公正的；坦白的；率直的；偷拍的
infirmity    n. 虚弱；疾病；衰弱；缺点
denounce     vt. 谴责；告发；公然抨击；通告废除
oasis        n. 绿洲；舒适的地方；令人宽慰的事物
premiere     n. （电影、戏剧的）首次公演  adj. 首要的；最早的
rampant      adj. 猖獗的；蔓延的；狂暴的；奔放的
patronage    n. 赞助；光顾；任免权
naval        adj. 海军的；军舰的
bulletin     n. 公告，公报   bulletin board
illustrious  adj. 著名的，杰出的；辉煌的
resonance    n. [力] 共振；共鸣；反响
abiding      v. 容忍；居住；接受（规则、劝告等）；（感情）始终不渝（abide 的现在分词） law-abiding
glean        vt. 收集（资料）；拾（落穗）
incite       vt. 煽动；激励；刺激
hysterical   adj. 歇斯底里的；异常兴奋的
concession   n. 让步；特许（权）；承认；退位
repulsive    adj. 排斥的；令人厌恶的；击退的；冷淡的
arid         adj. 干旱的；不毛的，[农] 荒芜的
vehement     adj. 激烈的，猛烈的；热烈的
antagonist   n. 敌手；[解剖] 对抗肌；[生化] 拮抗物；反协同试剂 antagonistic adj. 敌对的；对抗性的；反对的
fervent      adj. 热心的；强烈的；炽热的；热烈的  fervently adv. 热心地；热诚地
fledgling    n. 无经验的人；刚会飞的幼鸟
liaison      n. 联络；（语言）连音
liaise       vi. 保持联络；担任联络官
groan        vi. 呻吟；抱怨；发吱嘎声
rouse        vt. 唤醒；激起，使振奋；惊起
bewilder     vt. 使迷惑，使不知所措
