encroach     vi. 蚕食，侵占
affection    n. 喜爱，关爱；爱恋，爱慕之情；精神状况，感情；疾患，病；影响
blast        n. 爆炸，爆破；冲击波；爆炸声，爆破声；强劲的（气或水）流，疾风；吹奏声，轰鸣；严厉的批评；狂欢，有趣的事；（球队或选手的）猛烈进攻；枪击；<美>（公司、组织等发出的）群发电子邮件
revegetate   vt. 再生长；再种植  
incinerate   vi. 把……烧成灰；烧弃   

introspection    n. 内省；反省
confidential     adj. 机密的，保密的；（言谈举止）神秘的，隐秘的；受信任的，委以机密的
counsel    n. 忠告，建议；辩护律师；<古>咨询，磋商
urge       v. 敦促，催促，力劝；竭力主张，强烈要求；驱赶，鞭策；鼓励，激励（~ sb. on）

bare         adj. 空的；赤裸的，无遮蔽的
albeit       conj. 虽然，尽管
monumental   adj. 丰碑式的，伟大的；极大（坏，好等）的；纪念碑的，纪念性的；巨大的，庞大的
mollify   v. （使）平静，平息怒气；安抚，抚慰；缓和，减轻
ponder    v. 仔细考虑，琢磨，沉思
prompt    v. 提示，鼓励；促进；激起；导致；（给演员）提白
muddle    v. 弄乱；（使）糊涂；混淆；瞎忙；调制（饮料）
banish    vt. 放逐；驱逐

litter      n. （公共场所内乱扔的）垃圾，废弃物；一堆杂乱的东西；（同时出生的）一窝（小动物）；猫砂；（森林里的）落叶，落叶层；（家畜睡觉用的）褥草，垫草；轿子；担架
devastate   v. 毁坏，破坏；使极度震惊，使伤心欲绝
plagiarise  v. 剽窃，抄袭（同 plagiarise）  
accuse      v. 控告，指责  
burglar     n. 入室行窃者，窃贼

bend     v. 弯曲（身体关节）；使弯曲，弄弯；使弯曲，弄弯；（路）转弯；歪曲（事实）；篡改；屈从；系，缚（帆，缆绳）  
pliable    adj. 柔韧的；柔软的；圆滑的；易曲折的  
ignite     v. 点燃，燃烧；引发，激起    
brittle    adj. 易碎的，脆弱的；易生气的
evaporate  v. （使）蒸发，挥发；消失，消散  

grip     n. 紧握；掌握，控制；理解；不打滑，走得稳；手柄；紧握（或抓牢）的方式；（拍摄电影时）摄影机和照明设备管理人员；<英>发夹；旅行袋
escalate    v. （使）变得严重，（使）升级；迅速增加，迅速增长；逐步增强，逐步升高
prophet     n. 先知；预言者；提倡者
wholesome   adj. （食物）有益健康的；有益身心健康的，增进身心健康的；（显得）健康的，朝气蓬勃的
gainsay     vt. 反驳；否定
renovate    v. 修复，翻新（尤指建筑物）；使恢复活力      
grind       vt. 磨碎；磨快
intercede   vi. 调解，调停；求情，说项
echo        n. 回声；重复，附和，共鸣；相似之处，再现；回声插入；（话语结构和内容的）重复；（桥牌）回声信号
extort      vt. 敲诈；侵占；强求；牵强地引出
flare       vt. 使闪耀；使张开；用发光信号发出；使外倾
mighty      adj. 强大的，巨大的；（动作）用力的，需用力的    
prompt      v. 提示，鼓励；促进；激起；导致；（给演员）提白  

courtesy    n. 礼貌，彬彬有礼；礼貌的行为（言语）；<古>屈膝礼
scold       v. 责骂，训斥
tempt       v. 引诱，诱惑；怂恿，利诱；冒……的风险
tempting    adj. 吸引人的；诱惑人的
apprehend   vt. 理解；逮捕；忧虑
arduous     adj. 努力的；费力的；险峻的
censure     v. 严厉斥责，正式谴责  
exert       v. 运用，施加（影响）；努力，尽力（exert oneself）
implication   n. 含义；暗示；牵连，卷入；可能的结果，影响
compelling   adj. 引人注目的；令人信服的；非常强烈的；不可抗拒的
hastily      adv. 匆忙地；急速地；慌忙地
entry        n. 进入，加入；出场，莅临；门，入口；进入权，进入许可；参赛；参赛作品，竞赛答题； 参赛人数，报名人数；登记，登录；（日记或计算机文件的）事项，（参考书的）条目，（账簿的）账目； 进入，加入；参赛人数，报名人数
insinuate   vt. 暗示；使逐渐而巧妙地取得；使迂回地潜入
clue        n. 线索，提示；理解，想法
disclaim    vt. 否认，拒绝；放弃，弃权；拒绝承认
affirm      v. 断言，证实； 宣称拥护，支持；认可（判决，协议），批准；不宣誓而提供正式证词；给予（某人）情感支持（或鼓励）  
deduct      v. 减去，扣除
pitch       n. 运动场地；程度；音高；推销行话；倾斜度；沥青；投球；街头摆摊处；颠簸；螺距

spiritual   adj. 精神的，心灵的；宗教的；（人）高尚的，不为物欲所动的
assure      vt. 保证；担保；使确信；弄清楚
cripple     vt. （使）跛；（使）残废；削弱；严重毁坏（机器）；给……造成严重问题
irritate    v. 使不耐烦，激怒；刺激（身体某部位），使疼痛；使（生物体、细胞或器官）兴奋；引起不愉快
scorch      vt. 烧焦；使枯萎；挖苦
devastate   v. 毁坏，破坏；使极度震惊，使伤心欲绝
retreat     n. 撤退；休息寓所
superb      adj. 极佳的，质量极高的；（信心、控制力、技巧）非同一般的，超凡的；壮丽的，辉煌的；羽毛鲜艳夺目的（用于鸟名中，如羽毛鲜艳的琴鸟）
fascinate    v. 深深吸引，迷住；深深吸引，迷住；<旧>（尤指蛇）以眼神震慑（人，动物），使无法动弹
counterpart   n. 对应的人（或事物）；（法律文件的）副本  
haul        vt. （用力）拖，拉；费力前进；强迫（某人）接受申斥；（用卡车）运；（帆船）突然改变航道
accuse      v. 控告，指责
undertake    v. 承担，从事；承诺，答应；<英>在内侧行驶时赶上并超越（另一辆车）
meddle      v. 干涉，管闲事，干预他人之事；瞎搞，乱弄  
flout       v. 藐视，无视（规则、法律等）；嘲笑，愚弄
clash       n. 冲突，交战；争论，争执；交锋，比赛；分歧，差异；（金属的）撞击声；（时间上的）冲突，撞期；（颜色、图案等的）不相配
furious     adj. 狂怒的，暴怒的；狂暴的，猛烈的；喧闹的，热烈兴奋的  
utter       adj. 完全的，彻底的  v. 说，讲；发出（声音）；使用（伪钞）；发射
impoverish  vt. 使贫穷；使枯竭
manoeuvre    n. 熟练（谨慎）的动作；军事演习；策略，花招；欺诈性操作
bounce      v. 弹起，反弹；跳动，蹦；（使）上下晃动；（用膝盖）颠动（孩子）；蹦蹦跳跳地去；拒付，退回（支票等）；退回（电子邮件）；驱逐，解雇；（向某人）透露主意（以试探其反应）；反复跳槽，来回往返某地；（光线或声音）反射；撞击，碰撞
blow        v. （风）刮，吹；
steadfast   adj. 坚定的；不变的
contingent   n. （军队的）分遣队；代表团  
morale      n. 士气，精神面貌
weary       adj. 疲倦的；厌烦的；令人厌烦的  
emperor     n. 皇帝；（北美的）丽蝶，皇蝶  
illicit     adj. 非法的，社会不容许的
dilemma     n. （进退两难的）窘境，困境；二难推理，两刀论法
humiliate   v. 羞辱，使蒙羞
ruinous     adj. 破坏性的，毁灭性的；导致破产的，耗资巨大的；<正式>破败不堪的，损毁严重的
dawn        v. 变得明朗，开始清楚；破晓，开始    
decisive    adj. 果断的，决断的；决定性的，关键的；确定的，明确的
wagon       n. 货车，四轮马车  
encircle    vt. 包围；围绕；环绕 

volatile    adj. [化学] 挥发性的；不稳定的；爆炸性的；反复无常的
sane        adj. 健全的；理智的；[临床] 神志正常的  
brag        v. 吹牛，自夸
mourning    n. 伤逝，哀悼；丧服；沉痛哀悼之情；恸哭（某些国家的人为哀悼死者而作的大声痛哭）  
feast       n. 宴会，筵席；盛会，特别的享受；宗教节日    
adultery    n. 通奸，通奸行为    
council     n. 委员会，理事会；政务委员会，地方议会；会议：；（教会的）集会；会议
creep       vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩
divine      adj. 神的，天赐的；绝妙的，极令人愉快的
prologue    n. 开场白；序言
hilarious   adj. 欢闹的；非常滑稽的；喜不自禁的
mime        n. 哑剧；小丑；滑稽戏
perpetrate  vt. 犯（罪）；做（恶）
emperor     n. 皇帝；（北美的）丽蝶，皇蝶    
naval       adj. 海军的，军舰的    
banish      vt. 放逐；驱逐

curb       v. 控制，抑制；勒住（马）
irrigate   v. 灌溉；冲洗（尤指伤口）；使清新
tedious    adj. 冗长的，单调乏味的      
arable     adj. 适于耕种的；可开垦的    
align      v. 公开支持，与……结盟；（使）排成一条直线，使平行；调整，使一致；（使）参加，加入
quota      n. 定额；限额；配额；指标；（候选人当选所需的）规定票数，最低票数    
nursery    n. 托儿所，幼儿园；儿童房；<旧>儿童活动室；苗圃；（医院里的）育婴室；动物繁殖场；温床；两岁的马参加的赛马
petition   n. 请愿；请愿书；祈求；[法] 诉状  

dilute  v. 稀释，冲淡；削弱，降低；稀释股权；使（颜色）变淡，褪（色）；以一定比例的非熟练工替代（熟练工） 
ferocity  n. 凶猛；残忍；暴行
descend  v. 下来，下降；下倾，下斜；降临，来临；（情绪、气氛等）笼罩；突然到来，突然造访；降低身份，堕落；衰落，陷入；遗传
endanger  v. 使处于险境，危及
facility  n. 设施，设备；（机器等的）特别装置，特殊功能；（特定用途的）场所；才能，天赋  
coordinate   v. 协调，配合；使身体协调；（使颜色、款式、风格等）搭配，配套；给 （原子或分子）配位，与……形成共价键
captive   adj. 被俘虏的，被圈养的；受限制的，受控制的；（设备，服务）受垄断的；被迷住的，被吸引的
highland   n. 高地；丘陵地带

grief         n. （尤指因某人去世引起的）悲伤，悲痛；伤心事，悲痛事；<非正式>麻烦，烦恼
slump         v. （价格、数量等）骤降；重重地坐下（或倒下）；惨败；（肩或脑袋）耷拉着
