plush   adj. 豪华的；长毛绒做的；舒服的
rendezvous  n. 约会；约会地点；集结地
snag    n. 障碍；意外障碍；突出物
falter  vi. 衰弱；衰退；（嗓音）颤抖；结巴地说；蹒跚；犹豫
fester    vi. 溃烂；化脓
antiseptic  septic  adj. 败血症的；[医] 脓毒性的；腐败的
fret  v. 使烦恼；焦急；使磨损，使销蚀；用回纹装饰；给（弦乐器）装品
proficient  adj. 熟练的，精通的
brim  n. 边；边缘；帽檐
tepid   adj. 微温的，温热的；不太热烈的；不热情的
insulation  n. 隔热，绝缘，隔音；隔热（或绝缘、隔音）材料；隔绝状态
studious   adj. 用功的；热心的；专心的；故意的；适于学习的
auspicious  adj. 有助于成功的，有利的；吉祥的，吉利的；富裕的
recalcitrant adj. 反抗的；反对的；顽强的
coddle   vt. 娇养；溺爱（等于mollycoddle）；用文火煮
ignominious  adj. 可耻的；下流的
ravenous    adj. 贪婪的；渴望的；狼吞虎咽的
gentility   n. 有教养，文雅；上流阶层
amenity     n. 舒适；礼仪；愉快；便利设施
insolent    adj. 无礼的；傲慢的；粗野的；无耻的
accomplice  n. 同谋者，[法] 共犯
impasse     n. 僵局；死路
gallant     adj. 英勇的，勇敢的；华丽的；雄伟的
