acuminous   adj. 敏锐的；锐利的；尖的  youlish上没搜到这个词
valorous    adj. 勇敢的；勇武的
wayward     adj. 任性的；不规则的；刚愎的
gabble      v. 急促而含混不清地说
emboss      vt. 使凸出；在……上作浮雕图案；装饰
despoil     vt. 掠夺，剥夺；夺取
spoliate    vt. 强夺，掠夺；抢劫    spoliation
scrunch     v. 发出嘎吱嘎吱的响声；把……揉成一团；使蜷缩，碾压；造发型
grumble     vi. 抱怨；嘟囔
opulent     adj. 丰富的；富裕的；大量的
feign       vt. 假装；装作；捏造；想象
unfeigned   adj. 真实的，不虚伪的
provident   adj. 节俭的；有先见之明的；顾及未来的
improvident adj. 浪费的；无远见的；无先见之明的
overtake    v. 追上， 赶上并超过（汽车或人）；（发展或增长）超越，超过；突然降临于，意外发生在；（情感等）压倒，使难以承受
gibe        v. 嘲笑，愚弄；（非正式）相一符，一致（等于 jibe）n. 讥讽，嘲讽话（等于 jibe）
veracious   adj. 诚实的；真实的
dilate      vi. 扩大；膨胀；详述
exude       vt. 散发；流出；使渗出
bigoted     adj. 顽固的；心地狭窄的；盲从的
divulge     vt. 泄露；暴露
tacit       adj. 缄默的；不言而喻的；心照不宣的；默许的
moribund    adj. 垂死的；停滞不前的
