grandeur        n. 壮丽；庄严；宏伟
jagged          adj. 锯齿状的；参差不齐的
flippancy       n. 轻率；无礼；言语尖刻
sojourn         n. 逗留；旅居
inalienable     adj. 不可分割的；不可剥夺的；不能让与的
extenuate       v. 减轻（过错等）的程度，使看起来情有可原；使瘦削  extenuating  adj. 情有可原的；使减轻的
forlorn         adj. 被遗弃的；绝望的；孤独的
fulminate       vi. 爆炸；电闪；怒喝
incredulity     n. 怀疑；不轻信，不易相信
abscond         vi. 逃匿，潜逃；避债
fervor          n. 热情；热烈；热心；炽热
layoff          n. 解雇，下岗；休养，停工期
downsize        vt. 以较小尺寸设计；缩小尺寸；裁减人数
figment         n. 虚构的事；臆造的事物
sterilize       vt. 消毒，杀菌；使成不毛；使绝育；使不起作用
rebut           vt. 反驳；揭露；拒绝
assuage         vt. 平息；缓和；减轻
slavish         adj. 奴隶的；奴性的；卑屈的；盲从的 
garnish         v. 装饰（尤指食物）；（为合法扣押属于债务人或被告的钱财）传讯（第三方）
mulish          adj. 顽固的，执拗的；骡子似的  mule 骡子
ravish          vt. 强夺；强奸；使着迷
sluttish        adj. 邋遢的；懒惰的；淫荡的；不端庄的
stringent       adj. 严格的；严厉的；紧缩的；短缺的
fatuous         adj. 愚蠢的，愚昧的；错误的；未经认真考虑的
