rebuke      v. 斥责，指责；控制
clumsy      adj. 笨拙的
inhibit     vt. 抑制；禁止 inhibition vt. 抑制；禁止
incline     v. 倾向于；（使）倾向于；赞同（某人或某事）；有……倾向；（使）倾斜；低头 
platitude   n. 陈词滥调；平凡；陈腐
incessant   adj. 不断的；不停的；连续的
dogma       n. 教条，教理；武断的意见
clamor      n. 喧闹，叫嚷；大声的要求
ordeal      n. 折磨；严酷的考验；痛苦的经验
bawl        vi. 大叫；放声痛哭
trample     vt. 践踏；蔑视，伤害
howl        v. （狗、狼等）嚎叫；（因疼痛、愤怒等）大声叫喊；（风）怒号；怒吼；嚎啕大哭
petrify     vi. 石化；惊呆 
relapse     v. （病）复发，重新恶化；返回，退回原状，故态复萌
abstain     v. （投票时）弃权，放弃；避免，回避；自制，戒除
mediate     vi. 调解；斡旋；居中
onwards     adv. 向前；在前面
torpid      adj. 迟钝的，迟缓的；不活泼的；麻痹的；[生物] 蛰伏的
impute      vt. 归罪于，归咎于；嫁祸于
flicker     v. 闪烁，摇曳；颤动；（情绪等）闪现；快速瞥视；扑动翅膀
strain      n. 张力；拉紧；负担；扭伤；血缘  n. （植物、动物的）品种；种类
intake      n. 摄取量；通风口；引入口；引入的量
loath       adj. 勉强的；不情愿的（等于loth） loathe vt. 讨厌，厌恶 loathing
loathe      adj. 勉强的；不情愿的
bliss       n. 极乐；天赐的福
extant      adj. 现存的；显著的
conform     vi. 符合；遵照；适应环境
gloss       n. 光彩；用以产生光泽的物质；光泽涂料；假象；注释 glossy adj. 光滑的；有光泽的
abstinence  n. 节制；节欲；戒酒；禁食
puberty     n. 青春期；开花期
